SessionID, UserID, SessionStartTime, StudyType, FolderPath, ImageName, ScreenSelected, TaskStartTime, TaskEndTime, Score, Camera, Comments,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\G H,MB G.jpg,Left,10:22:36,10:22:39,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\N L,BU N.jpg,Left,10:22:39,10:22:44,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\L H,BC L.jpg,Left,10:22:44,10:22:47,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\I S,TL I.jpg,Left,10:22:47,10:23:01,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\A W,BU W.JPG,Left,10:23:01,10:23:03,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\L P,BR P.JPG,Left,10:23:03,10:23:28,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\P M,GT P.JPG,Right,10:23:28,10:23:34,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\DD Y,BC DD.jpg,Left,10:23:34,10:23:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\X H,GH X.JPG,Right,10:23:36,10:23:42,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\B E,LE E.JPG,Right,10:23:42,10:23:51,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\X E,BR E.JPG,Left,10:23:51,10:23:57,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\V T,BT V.jpg,Right,10:23:57,10:24:00,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\Q N,GT Q.jpg,Right,10:24:00,10:24:02,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\D G,BT D.JPG,Left,10:24:02,10:24:03,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\C G,GT C.JPG,Right,10:24:03,10:24:05,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\E N,FL E.JPG,Left,10:24:05,10:24:06,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\F T,AM F.JPG,Left,10:24:07,10:24:11,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\AA Z,PI AA.jpg,Right,10:24:11,10:24:13,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\K Y,LE K.JPG,Right,10:24:14,10:24:16,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\Q O,TL Q.jpg,Left,10:24:16,10:24:18,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\N Q,FR N.jpg,Right,10:24:19,10:24:23,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\N F,BT N.jpg,Left,10:24:24,10:24:27,-1,0,,
